"latitude","longitude","year","month","frp","daynight"
-19.7735,125.3038,"2017","05",791.6,"D"
-15.0375,134.5031,"2017","05",596.1,"D"
-19.8082,125.1128,"2017","05",562.6,"D"
-21.127,127.6479,"2017","05",542.9,"D"
-12.3539,131.1088,"2017","05",531.6,"D"
-20.6337,129.0265,"2017","05",822,"D"
-20.642,128.9878,"2017","05",666.8,"D"
-20.617,129.0224,"2017","05",625,"D"
-20.6299,129.0172,"2017","05",1326.3,"D"
-20.6132,129.0131,"2017","05",512.4,"D"
-22.7307,130.417,"2017","05",878.4,"D"
-22.7309,130.4091,"2017","05",712.4,"D"
-13.0847,131.7001,"2017","05",559,"D"
-13.1536,131.7214,"2017","05",573.5,"D"
-20.0689,127.8952,"2017","05",814,"D"
-20.0708,127.8829,"2017","05",524.8,"D"
-12.7901,131.5361,"2017","05",584.6,"D"
-23.2076,128.4863,"2017","05",517,"D"
-23.2246,128.4878,"2017","05",704.9,"D"
-23.1748,128.2379,"2017","05",849,"D"
-23.1575,128.2363,"2017","05",617.4,"D"
-23.1732,128.2334,"2017","05",963.4,"D"
-22.7233,128.9417,"2017","06",569.1,"D"
-22.7218,128.9515,"2017","06",518.1,"D"
-23.3414,122.0999,"2017","06",794.7,"D"
-22.9647,121.8739,"2017","06",1635.7,"D"
-23.1382,121.8282,"2017","06",542.3,"D"
-23.0181,121.7481,"2017","06",521.5,"D"
-22.9528,123.0428,"2017","06",736,"D"
-22.7142,128.9401,"2017","06",697.7,"D"
-20.2824,127.2832,"2017","06",530.1,"D"
-14.5517,130.8685,"2017","06",559.5,"D"
-12.3781,141.9029,"2017","06",1082.1,"D"
-13.5972,130.1754,"2017","06",518.2,"D"
-19.8753,127.8232,"2017","06",1016.9,"D"
-19.8767,127.8336,"2017","06",1082.2,"D"
-20.2949,133.9565,"2017","06",535.3,"D"
-20.2929,133.9635,"2017","06",545.6,"D"
-20.2901,133.9368,"2017","06",540.2,"D"
-13.6195,130.1883,"2017","06",545.5,"D"
-13.6113,130.1806,"2017","06",665.5,"D"
-13.6121,129.8476,"2017","06",785.1,"D"
-13.6031,129.849,"2017","06",546.7,"D"
-13.6135,129.8569,"2017","06",536.1,"D"
-20.3175,122.162,"2017","06",633.1,"D"
-32.5061,116.6372,"2017","06",570.7,"D"
-32.4968,116.6355,"2017","06",578,"D"
-32.4953,116.6467,"2017","06",503.3,"D"
-19.3072,123.217,"2017","06",600.5,"D"
-19.0629,123.3686,"2017","06",911,"D"
-19.0969,123.3476,"2017","06",640.7,"D"
-19.0624,123.3732,"2017","06",857.7,"D"
-19.1018,123.3255,"2017","06",823.4,"D"
-19.0966,123.3522,"2017","06",920.2,"D"
-19.1059,123.3825,"2017","06",627.8,"D"
-19.3231,123.0586,"2017","06",745.6,"D"
-19.3371,123.0616,"2017","06",719.8,"D"
-19.375,123.0169,"2017","06",799,"D"
-19.0932,123.2074,"2017","06",511.9,"D"
-19.0882,123.234,"2017","06",2171.3,"D"
-19.1075,123.2106,"2017","06",1213.2,"D"
-19.1025,123.2373,"2017","06",1115.1,"D"
-19.0975,123.264,"2017","06",1073.9,"D"
-19.0925,123.2908,"2017","06",835.8,"D"
-19.0939,123.2123,"2017","06",1060.3,"D"
-19.0887,123.2389,"2017","06",2234.5,"D"
-19.1082,123.2156,"2017","06",1504.6,"D"
-19.103,123.2421,"2017","06",605.7,"D"
-19.0978,123.2688,"2017","06",1165.2,"D"
-19.0926,123.2956,"2017","06",690,"D"
-20.1823,121.865,"2017","06",1877.5,"D"
-20.1787,121.8853,"2017","06",1548.9,"D"
-20.1821,121.8723,"2017","06",1997.7,"D"
-20.1859,121.852,"2017","06",866.1,"D"
-20.1783,121.8925,"2017","06",1035,"D"
-22.1139,131.6768,"2017","06",1148.3,"D"
-22.1175,131.6702,"2017","06",1204.4,"D"
-19.1021,122.0226,"2017","06",722.9,"D"
-20.3527,122.0941,"2017","06",795.7,"D"
-20.2761,122.2668,"2017","06",1224.3,"D"
-20.3348,122.3917,"2017","06",848.9,"D"
-20.328,122.3589,"2017","06",1371.4,"D"
-20.3345,122.3632,"2017","06",1273.4,"D"
-20.366,122.0971,"2017","06",919.8,"D"
-20.283,122.3,"2017","06",1200.4,"D"
